SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-23-2025,Single Family Residential,12 Highland St,Weston,MA,02493,1050000,3,1.5,Weston,1628,43610,1880,,645,,Sold,,,https://www.redfin.com/MA/Weston/12-Highland-St-02493/home/8783672,MLS PIN,73347594,N,Y,42.3638664,-71.3137988
PAST SALE,February-12-2026,Single Family Residential,121 Cherry Brook Rd,Weston,MA,02493,2100000,4,3.5,Weston,3495,96155,1962,,601,,Sold,,,https://www.redfin.com/MA/Weston/121-Cherry-Brook-Rd-02493/home/11685384,MLS PIN,73459672,N,Y,42.3902763,-71.3153449
PAST SALE,January-2-2026,Townhouse,5 Peakes Ln #5,Weston,MA,02493,2000000,3,4.5,Weston,3161,,2021,,633,690,Sold,,,https://www.redfin.com/MA/Weston/5-Peakes-LN-02493/unit-5/home/177931881,MLS PIN,73446137,N,Y,42.393487,-71.301667
PAST SALE,September-17-2025,Condo/Co-op,115 Jericho Rd #115,Weston,MA,02493,740000,2,2,Weston,1359,,1980,,545,726,Sold,,,https://www.redfin.com/MA/Weston/115-Jericho-Rd-02493/unit-115/home/197016551,MLS PIN,73417405,N,Y,42.3695985,-71.3086449
PAST SALE,February-13-2026,Single Family Residential,23 Stonecroft Cir,Weston,MA,02493,4250000,4,6,Southside Estate area,8051,60000,2002,,528,,Sold,,,https://www.redfin.com/MA/Weston/23-Stonecroft-Cir-02493/home/8789580,MLS PIN,73452306,N,Y,42.335272,-71.2845673
PAST SALE,November-14-2025,Single Family Residential,45 Forest Ridge Rd,Weston,MA,02493,1605000,4,2.5,Weston,2300,42867,1968,,698,,Sold,,,https://www.redfin.com/MA/Weston/45-Forest-Ridge-Rd-02493/home/8782261,MLS PIN,73431404,N,Y,42.3776157,-71.2767014
PAST SALE,January-12-2026,Vacant Land,3 October Ln,Weston,MA,02493,1200000,,,Weston,,34245,,,,,Sold,,,https://www.redfin.com/MA/Weston/3-October-Ln-02493/home/198949175,MLS PIN,73452862,N,Y,42.3863338,-71.296957
PAST SALE,April-10-2025,Condo/Co-op,15 Dickson Ln #15,Weston,MA,02493,1300000,3,2.5,Weston,2777,,1996,,468,720,Sold,,,https://www.redfin.com/MA/Weston/15-Dickson-Ln-02493/unit-15/home/195025733,MLS PIN,73345348,N,Y,42.3332346,-71.3156492
PAST SALE,July-1-2025,Single Family Residential,80 Black Oak Rd,Weston,MA,02493,2600000,5,3.5,Weston,4395,59848,1963,,592,,Sold,,,https://www.redfin.com/MA/Weston/80-Black-Oak-Rd-02493/home/11439009,MLS PIN,73356053,N,Y,42.346392,-71.3278569
PAST SALE,July-24-2025,Single Family Residential,111 Sudbury Rd,Weston,MA,02493,2800000,4,5.5,Weston,5624,151476,1715,,498,,Sold,,,https://www.redfin.com/MA/Weston/111-Sudbury-Rd-02493/home/8779056,MLS PIN,73350463,N,Y,42.3868652,-71.3315553
PAST SALE,September-15-2025,Single Family Residential,10 Old Rd,Weston,MA,02493,2650000,5,5,Weston,5647,62614,1987,,469,,Sold,,,https://www.redfin.com/MA/Weston/10-Old-Rd-02493/home/8782858,MLS PIN,73400770,N,Y,42.3731584,-71.292475
PAST SALE,December-8-2025,Condo/Co-op,8 Jericho Rd #8,Weston,MA,02493,802000,2,2,Weston,1359,,1980,,590,726,Sold,,,https://www.redfin.com/MA/Weston/8-Jericho-Rd-02493/unit-8/home/185514117,MLS PIN,73449501,N,Y,42.3694215,-71.3098456
PAST SALE,June-30-2025,Condo/Co-op,105 Jericho Rd #105,Weston,MA,02493,802000,2,2,Weston,1359,,1980,,590,674,Sold,,,https://www.redfin.com/MA/Weston/105-Jericho-Rd-02493/unit-105/home/8794772,MLS PIN,73364903,N,Y,42.3685786,-71.3097306
PAST SALE,August-15-2025,Vacant Land,725 Wellesley St,Weston,MA,02493,1530000,,,Weston,,84394,,,,,Sold,,,https://www.redfin.com/MA/Weston/725-Wellesley-St-02493/home/8793529,MLS PIN,73400240,N,Y,42.3191068,-71.3160671
PAST SALE,August-27-2025,Single Family Residential,288 Glen Rd,Weston,MA,02493,1200000,5,3.5,Weston,2864,16553,1923,,419,,Sold,,,https://www.redfin.com/MA/Weston/288-Glen-Rd-02493/home/8793168,MLS PIN,73364935,N,Y,42.3266796,-71.2879504
PAST SALE,May-15-2025,Single Family Residential,243 Ridgeway Rd,Weston,MA,02493,2960000,4,5,Weston,4624,36155,1940,,640,,Sold,,,https://www.redfin.com/MA/Weston/243-Ridgeway-Rd-02493/home/8793207,MLS PIN,73334028,N,Y,42.3266486,-71.2788606
PAST SALE,June-16-2025,Single Family Residential,65 Colchester Rd,Weston,MA,02493,3550000,4,5,Weston,6816,40471,1991,,521,,Sold,,,https://www.redfin.com/MA/Weston/65-Colchester-Rd-02493/home/8781705,MLS PIN,73342259,N,Y,42.3776554,-71.3047302
PAST SALE,July-14-2025,Single Family Residential,9 Newton St,Weston,MA,02493,1755000,3,2.5,Weston,2841,47171,1946,,618,,Sold,,,https://www.redfin.com/MA/Weston/9-Newton-St-02493/home/11685522,MLS PIN,73368095,N,Y,42.3417667,-71.2758831
PAST SALE,July-22-2025,Single Family Residential,46 Golden Ball Rd,Weston,MA,02493,945000,3,1.5,Weston,920,8407,1920,,1027,,Sold,,,https://www.redfin.com/MA/Weston/46-Golden-Ball-Rd-02493/home/8784056,MLS PIN,73381048,N,Y,42.3620205,-71.3096873
PAST SALE,May-1-2025,Single Family Residential,3 Tamarack Rd,Weston,MA,02493,2632500,5,3.5,Weston,4905,60436,1972,,537,,Sold,,,https://www.redfin.com/MA/Weston/3-Tamarack-Rd-02493/home/8789929,MLS PIN,73338802,N,Y,42.3367941,-71.2727525
PAST SALE,July-31-2025,Single Family Residential,58 Webster Rd,Weston,MA,02493,5275000,6,5,Weston,5820,179467,1921,,906,,Sold,,,https://www.redfin.com/MA/Weston/58-Webster-Rd-02493/home/8781960,MLS PIN,73372663,N,Y,42.3774267,-71.2894625
PAST SALE,August-22-2025,Single Family Residential,39 Westerly Rd,Weston,MA,02493,3287500,5,3.5,Weston Estates,6461,60000,1968,,509,,Sold,,,https://www.redfin.com/MA/Weston/39-Westerly-Rd-02493/home/8785271,MLS PIN,73345291,N,Y,42.3547486,-71.3284856
PAST SALE,July-15-2025,Single Family Residential,110 North Ave,Weston,MA,02493,1265000,4,3,Weston,1720,34848,1954,,735,,Sold,,,https://www.redfin.com/MA/Weston/110-North-Ave-02493/home/8781835,MLS PIN,73375469,N,Y,42.3803149,-71.2823192
PAST SALE,October-28-2025,Single Family Residential,336 North Ave,Weston,MA,02493,1251000,3,2,Weston,2700,51400,1956,,463,,Sold,,,https://www.redfin.com/MA/Weston/336-North-Ave-02493/home/8778464,MLS PIN,73424906,N,Y,42.393045,-71.292784
PAST SALE,July-3-2025,Condo/Co-op,51 Jericho Rd #51,Weston,MA,02493,945000,3,2,Weston,1611,,1980,,587,844,Sold,,,https://www.redfin.com/MA/Weston/51-Jericho-Rd-02493/unit-51/home/105619364,MLS PIN,73373958,N,Y,42.3698582,-71.3119364
PAST SALE,November-13-2025,Single Family Residential,2 Fox Chase Ln,Weston,MA,02493,1500000,5,2.5,Weston,2225,35300,1951,,674,,Sold,,,https://www.redfin.com/MA/Weston/2-Fox-Chase-Ln-02493/home/8779934,MLS PIN,73435958,N,Y,42.3845209,-71.3054471
PAST SALE,May-15-2025,Single Family Residential,200 Hickory Rd,Weston,MA,02493,2750000,4,3,Weston,4149,60436,1981,,663,,Sold,,,https://www.redfin.com/MA/Weston/200-Hickory-Rd-02493/home/8792640,MLS PIN,73336091,N,Y,42.3227137,-71.3097285
PAST SALE,June-12-2025,Single Family Residential,2 Lantern Ln,Weston,MA,02493,1600000,4,2.5,Weston,3105,19838,1945,,515,,Sold,,,https://www.redfin.com/MA/Weston/2-Lantern-Ln-02493/home/8780633,MLS PIN,73366514,N,Y,42.3847349,-71.292177
PAST SALE,April-4-2025,Single Family Residential,19 Bradyll Rd,Weston,MA,02493,2200000,5,3.5,Weston,3750,52300,1980,,587,,Sold,,,https://www.redfin.com/MA/Weston/19-Bradyll-Rd-02493/home/8778067,MLS PIN,73337181,N,Y,42.3925775,-71.30036
PAST SALE,August-22-2025,Single Family Residential,142 Wellesley St,Weston,MA,02493,1930000,4,3,Weston,3760,55960,1905,,513,,Sold,,,https://www.redfin.com/MA/Weston/142-Wellesley-St-02493/home/8785710,MLS PIN,73397721,N,Y,42.3568981,-71.2996583
PAST SALE,July-31-2025,Single Family Residential,15 Hancock Rd,Weston,MA,02493,2520000,5,4,Weston,4280,69583,1971,,589,,Sold,,,https://www.redfin.com/MA/Weston/15-Hancock-Rd-02493/home/8776899,MLS PIN,73344413,N,Y,42.3974122,-71.2837224
PAST SALE,November-3-2025,Single Family Residential,96 Conant,Weston,MA,02493,1550000,3,3,Weston,2418,44563,1940,,641,,Sold,,,https://www.redfin.com/MA/Weston/96-Conant-Rd-02493/home/11803832,MLS PIN,73424850,N,Y,42.3752302,-71.3003286
